

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.034  000.034: --- NVIM STARTING ---
000.142  000.108: event init
000.397  000.255: early init
014.575  014.178: locale set
014.651  000.076: init first window
015.401  000.750: inits 1
015.732  000.331: window checked
016.041  000.309: parsing arguments
017.366  000.389  000.389: require('vim.shared')
018.177  000.307  000.307: require('vim._meta')
018.186  000.809  000.502: require('vim._editor')
018.191  001.321  000.123: require('vim._init_packages')
018.202  000.840: init lua interpreter
018.286  000.084: expanding arguments
018.350  000.064: inits 2
018.985  000.635: init highlight
018.990  000.005: waiting for UI
022.543  003.552: done waiting for UI
022.581  000.038: init screen for UI
022.939  000.358: init default mappings
022.988  000.049: init default autocommands
029.444  000.172  000.172: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\ftplugin.vim
030.215  000.095  000.095: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\indent.vim
034.681  000.879  000.879: require('packer.util')
034.757  003.398  002.518: require('packer')
037.747  000.864  000.864: require('packer.log')
037.757  001.754  000.890: require('packer.async')
039.252  000.697  000.697: require('packer.result')
039.262  001.500  000.803: require('packer.jobs')
039.271  004.205  000.951: require('packer.plugin_utils')
040.366  001.031  001.031: require('packer.snapshot')
040.980  009.870  001.237: require('plugins')
043.916  000.430  000.430: require('luasnip.session')
044.606  000.677  000.677: require('luasnip.util.util')
045.004  000.390  000.390: require('luasnip.util.types')
045.887  000.441  000.441: require('luasnip.util.ext_opts')
045.896  000.885  000.444: require('luasnip.nodes.util')
046.271  000.371  000.371: require('luasnip.util.events')
046.285  003.538  000.784: require('luasnip.nodes.node')
047.231  000.405  000.405: require('luasnip.util.extend_decorator')
047.248  000.959  000.554: require('luasnip.nodes.insertNode')
047.648  000.393  000.393: require('luasnip.nodes.textNode')
048.353  000.697  000.697: require('luasnip.util.mark')
049.851  000.824  000.824: require('luasnip.util._builtin_vars')
050.188  000.323  000.323: require('vim.inspect')
050.219  001.835  000.688: require('luasnip.util.environ')
050.641  000.417  000.417: require('luasnip.util.pattern_tokenizer')
051.031  000.380  000.380: require('luasnip.util.dict')
051.559  000.521  000.521: require('luasnip.session.snippet_collection')
051.671  009.850  001.110: require('luasnip.nodes.snippet')
052.488  000.363  000.363: require('luasnip.loaders._caches')
052.984  000.489  000.489: require('luasnip.util.path')
053.019  001.341  000.489: require('luasnip.loaders')
053.508  000.471  000.471: require('luasnip.nodes.functionNode')
054.130  000.612  000.612: require('luasnip.nodes.choiceNode')
054.848  000.708  000.708: require('luasnip.nodes.dynamicNode')
055.527  000.668  000.668: require('luasnip.nodes.restoreNode')
057.047  000.452  000.452: require('luasnip.util.parser.neovim_ast')
059.733  000.480  000.480: require('luasnip.util.directed_graph')
059.753  003.737  002.806: require('luasnip.util.parser.ast_utils')
060.750  000.398  000.398: require('luasnip.util.functions')
060.762  001.001  000.603: require('luasnip.util.parser.ast_parser')
061.417  000.646  000.646: require('luasnip.util.parser.neovim_parser')
061.873  000.448  000.448: require('luasnip.util.str')
061.904  006.364  000.532: require('luasnip.util.parser')
066.761  000.719  000.719: require('vim.treesitter.language')
066.780  001.736  001.018: require('vim.treesitter.query')
067.736  000.951  000.951: require('vim.treesitter.languagetree')
067.757  003.601  000.914: require('vim.treesitter')
067.866  004.978  001.377: require('nvim-treesitter.parsers')
069.611  000.835  000.835: require('nvim-treesitter.utils')
069.624  001.739  000.904: require('nvim-treesitter.ts_utils')
069.637  007.212  000.495: require('luasnip.extras.filetype_functions')
070.242  000.574  000.574: require('luasnip.extras')
070.933  000.585  000.585: require('luasnip.extras.fmt')
072.284  000.548  000.548: require('luasnip.extras.conditions')
072.795  000.492  000.492: require('luasnip.extras.conditions.show')
072.812  001.476  000.435: require('luasnip.extras.conditions.expand')
072.817  001.876  000.400: require('luasnip.extras.expand_conditions')
073.276  000.453  000.453: require('luasnip.nodes.absolute_indexer')
073.679  011.770  001.071: require('luasnip.config')
073.689  032.702  000.918: require('luasnip')
076.357  000.599  000.599: require('cmp.utils.debug')
077.736  000.671  000.671: require('cmp.utils.char')
077.752  001.386  000.715: require('cmp.utils.str')
078.308  000.551  000.551: require('cmp.utils.pattern')
080.460  000.752  000.752: require('cmp.utils.misc')
081.037  000.568  000.568: require('cmp.utils.buffer')
081.650  000.603  000.603: require('cmp.utils.api')
081.666  002.664  000.740: require('cmp.utils.keymap')
081.679  003.363  000.699: require('cmp.utils.feedkeys')
082.391  000.708  000.708: require('cmp.utils.async')
084.064  000.538  000.538: require('cmp.types.cmp')
084.709  000.630  000.630: require('cmp.types.lsp')
085.207  000.491  000.491: require('cmp.types.vim')
085.225  002.199  000.541: require('cmp.types')
085.712  000.483  000.483: require('cmp.utils.cache')
085.720  003.322  000.639: require('cmp.context')
087.569  000.555  000.555: require('cmp.config.mapping')
088.725  000.596  000.596: require('cmp.config.compare')
088.733  001.156  000.560: require('cmp.config.default')
088.745  002.346  000.635: require('cmp.config')
090.111  000.573  000.573: require('cmp.matcher')
090.121  001.372  000.799: require('cmp.entry')
090.129  004.405  000.686: require('cmp.source')
091.167  000.456  000.456: require('cmp.utils.event')
092.299  000.617  000.617: require('cmp.utils.window')
092.306  001.133  000.516: require('cmp.view.docs_view')
093.497  000.466  000.466: require('cmp.utils.autocmd')
093.517  001.207  000.741: require('cmp.view.custom_entries_view')
094.110  000.589  000.589: require('cmp.view.wildmenu_entries_view')
094.734  000.618  000.618: require('cmp.view.native_entries_view')
095.234  000.493  000.493: require('cmp.view.ghost_text_view')
095.249  005.117  000.622: require('cmp.view')
095.332  020.685  001.234: require('cmp.core')
095.868  000.440  000.440: require('cmp.config.sources')
096.299  000.424  000.424: require('cmp.config.window')
096.360  022.568  001.020: require('cmp')
098.410  000.373  000.373: require('mason-core.path')
098.427  000.768  000.396: require('mason.settings')
099.454  000.430  000.430: require('mason-core.functional')
100.295  000.372  000.372: require('mason-core.functional.data')
100.303  000.812  000.439: require('mason-core.functional.function')
100.718  000.374  000.374: require('mason-core.functional.relation')
101.109  000.382  000.382: require('mason-core.functional.logic')
101.142  002.692  000.695: require('mason-core.platform')
101.147  003.858  000.398: require('mason')
102.123  000.454  000.454: require('mason-core.functional.list')
102.155  000.973  000.519: require('mason.api.command')
103.102  000.536  000.536: require('mason-core.log')
103.109  000.950  000.414: require('mason-lspconfig')
103.482  000.369  000.369: require('mason-lspconfig.settings')
103.893  000.405  000.405: require('mason-lspconfig.lspconfig_hook')
107.832  000.738  000.738: require('vim.lsp.log')
108.931  000.024  000.024: require('vim.F')
108.939  001.097  001.072: require('vim.lsp.protocol')
111.499  000.899  000.899: require('vim.lsp._snippet')
112.195  000.689  000.689: require('vim.highlight')
112.222  003.280  001.692: require('vim.lsp.util')
112.239  006.063  000.948: require('vim.lsp.handlers')
113.237  000.994  000.994: require('vim.lsp.rpc')
113.992  000.748  000.748: require('vim.lsp.sync')
115.165  001.165  001.165: require('vim.lsp.buf')
115.900  000.729  000.729: require('vim.lsp.diagnostic')
116.632  000.725  000.725: require('vim.lsp.codelens')
116.749  012.140  001.716: require('vim.lsp')
116.808  012.908  000.768: require('lspconfig.util')
117.250  000.429  000.429: require('mason-lspconfig.win-exepath-compat')
118.134  000.404  000.404: require('mason-core.functional.table')
118.177  000.876  000.472: require('mason-lspconfig.mappings.server')
119.534  000.492  000.492: require('mason-core.async')
119.909  000.367  000.367: require('mason-core.async.uv')
119.924  001.315  000.455: require('mason-core.fs')
120.357  000.428  000.428: require('mason-core.optional')
120.757  000.393  000.393: require('mason-core.EventEmitter')
121.379  000.616  000.616: require('mason-registry.index')
121.437  003.255  000.503: require('mason-registry')
121.805  000.363  000.363: require('mason-lspconfig.server_config_extensions')
122.593  000.781  000.781: require('lspconfig.configs')
123.180  000.581  000.581: require('lspconfig.server_configurations.omnisharp')
124.182  000.352  000.352: require('mason-core.notify')
124.560  000.371  000.371: require('mason-core.functional.number')
124.600  001.302  000.579: require('mason-lspconfig.api.command')
125.076  000.229  000.229: require('cmp_nvim_lsp.source')
125.083  000.478  000.250: require('cmp_nvim_lsp')
125.510  000.422  000.422: require('lspconfig')
126.025  000.509  000.509: require('lspconfig.server_configurations.clangd')
128.462  000.409  000.409: require('material.util.config')
128.472  000.770  000.361: require('material')
129.440  000.343  000.343: require('lualine_require')
130.153  001.638  001.294: require('lualine')
131.894  000.545  000.545: require('lualine.highlight')
134.374  000.307  000.307: require('lualine.utils.mode')
150.706  000.301  000.301: require('auto-session-library')
150.940  000.224  000.224: require('auto-session-autocmds')
150.983  001.189  000.663: require('auto-session')
152.557  000.744  000.744: require('indent_blankline/utils')
152.568  001.554  000.809: require('indent_blankline')
154.742  000.641  000.641: require('nvim-autopairs._log')
155.490  000.734  000.734: require('nvim-autopairs.utils')
157.464  000.710  000.710: require('nvim-autopairs.conds')
157.476  001.254  000.544: require('nvim-autopairs.rule')
157.480  001.982  000.728: require('nvim-autopairs.rules.basic')
157.490  004.698  001.341: require('nvim-autopairs')
158.743  000.527  000.527: require('Comment')
159.644  000.355  000.355: require('Comment.config')
160.768  000.549  000.549: require('Comment.ft')
160.781  001.126  000.577: require('Comment.utils')
161.174  000.389  000.389: require('Comment.opfunc')
161.503  000.322  000.322: require('Comment.extra')
161.512  002.760  000.569: require('Comment.api')
161.582  000.064  000.064: require('vim.keymap')
169.387  000.788  000.788: require('nvim-tree.iterators.node-iterator')
169.452  003.240  002.452: require('nvim-tree.utils')
169.461  003.968  000.728: require('nvim-tree.events')
171.442  000.602  000.602: require('nvim-tree.log')
179.833  008.383  008.383: require('nvim-tree.git.utils')
180.536  000.682  000.682: require('nvim-tree.git.runner')
181.121  000.578  000.578: require('nvim-tree.watcher')
181.131  010.976  000.731: require('nvim-tree.git')
181.705  000.570  000.570: require('nvim-tree.explorer.watch')
182.227  000.515  000.515: require('nvim-tree.explorer.common')
183.332  000.554  000.554: require('nvim-tree.explorer.node-builders')
183.917  000.578  000.578: require('nvim-tree.explorer.sorters')
184.465  000.542  000.542: require('nvim-tree.explorer.filters')
185.806  000.757  000.757: require('nvim-tree.view')
185.819  001.346  000.590: require('nvim-tree.live-filter')
185.824  003.590  000.570: require('nvim-tree.explorer.explore')
186.399  000.572  000.572: require('nvim-tree.explorer.reload')
186.407  016.929  000.706: require('nvim-tree.explorer')
186.413  021.520  000.623: require('nvim-tree.core')
186.993  000.577  000.577: require('nvim-tree.diagnostics')
187.614  000.614  000.614: require('nvim-tree.renderer.components.padding')
188.167  000.545  000.545: require('nvim-tree.renderer.components.icons')
188.774  000.601  000.601: require('nvim-tree.renderer.components.full-name')
189.320  000.538  000.538: require('nvim-tree.renderer.help')
190.019  000.693  000.693: require('nvim-tree.renderer.components.git')
190.799  000.756  000.756: require('nvim-tree.renderer.builder')
191.400  000.594  000.594: require('nvim-tree.marks')
191.412  027.361  000.924: require('nvim-tree.renderer')
191.958  000.535  000.535: require('nvim-tree.actions.tree-modifiers.collapse-all')
192.466  000.501  000.501: require('nvim-tree.actions.root.dir-up')
193.028  000.556  000.556: require('nvim-tree.actions.root.change-dir')
193.679  000.637  000.637: require('nvim-tree.actions.reloaders.reloaders')
194.313  000.613  000.613: require('nvim-tree.actions.finders.find-file')
194.326  030.962  000.759: require('nvim-tree.lib')
194.961  000.631  000.631: require('nvim-tree.colors')
195.688  000.720  000.720: require('nvim-tree.legacy')
196.377  000.682  000.682: require('nvim-tree.actions.fs.copy-paste')
197.567  000.560  000.560: require('nvim-tree.actions.tree-modifiers.expand-all')
198.154  000.580  000.580: require('nvim-tree.actions.tree-modifiers.toggles')
